project,street,commence,sale,price,area,level
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1672280,1281,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1622810,1453,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,915680,667,06 to 10
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1300000,1442,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1234810,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,952540,786,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1308300,980,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,775000,980,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,877000,667,06 to 10
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1100000,1076,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1620000,1292,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1090000,872,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1240000,1130,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,918590,667,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1550000,2034,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,700000,506,16 to 20
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,780000,689,06 to 10
THE GREENWICH,SELETAR ROAD,2009,Resale,1500000,1227,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1718000,2239,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1275000,969,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1350000,1981,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1277490,980,06 to 10
THE GREENWICH,SELETAR ROAD,2009,Resale,1260000,1076,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,1380000,1076,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1620870,1281,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1168000,1453,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1200000,1076,16 to 20
THE GREENWICH,SELETAR ROAD,2009,Resale,910000,904,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,1739000,1389,11 to 15
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,990000,947,06 to 10
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1080000,1281,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,570000,495,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,590000,495,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1497600,1152,16 to 20
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,590000,495,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1150000,1076,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1680000,1389,11 to 15
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,600000,495,06 to 10
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1130000,1076,11 to 15
THE GREENWICH,SELETAR ROAD,2009,Resale,900000,883,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,1300000,1076,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,620000,527,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,800000,980,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1728540,1507,21 to 25
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,800000,710,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,918000,883,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,870000,1163,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,927000,883,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,908000,883,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1888000,1453,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1659000,1453,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,985520,775,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1080000,1012,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,908000,883,06 to 10
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,603000,495,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1510180,1249,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1100000,1399,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,700000,646,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,593000,495,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,740000,980,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1300000,1442,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1100000,1281,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1280000,1658,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1238000,1130,21 to 25
THE GREENWICH,SELETAR ROAD,2009,Resale,1033000,904,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,707000,506,16 to 20
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,810000,980,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1540000,2067,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,680000,527,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,673000,506,11 to 15
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,640000,527,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1220112,872,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,981000,775,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,968000,667,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,855000,581,16 to 20
RIVERBANK @ FERNVALE,FERNVALE CLOSE,2013,Resale,780000,689,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,700000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1389112,980,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,693000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1524000,1249,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,676000,506,11 to 15
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1180000,1130,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1288112,969,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,859000,592,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1278112,1033,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1241112,969,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1540000,2067,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,705000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1248112,872,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,931000,667,06 to 10
THE GREENWICH,SELETAR ROAD,2009,Resale,1600000,1227,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,715000,527,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,862000,592,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1114112,872,06 to 10
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1260000,1130,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,820000,980,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,940000,667,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,696000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,700000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,707000,506,16 to 20
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1780000,1905,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1380000,1227,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,897000,700,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,697000,506,11 to 15
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1180000,1582,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,800000,980,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1150000,872,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,696000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,890000,700,21 to 25
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1000000,1281,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1315112,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,704000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,855000,592,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,847000,581,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,834000,592,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,703000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,928000,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,676000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,840000,581,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,823000,581,16 to 20
THE GREENWICH,SELETAR ROAD,2009,Resale,693000,603,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,607000,527,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1318112,980,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1400000,2024,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,819000,581,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1585000,1281,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,908000,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,673000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1124112,872,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,881000,667,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,815000,581,16 to 20
H2O RESIDENCES,FERNVALE LINK,2010,Resale,905000,883,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,815000,581,11 to 15
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1306000,1507,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1370000,1981,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,900000,1216,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,999000,775,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1152112,872,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,919000,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,711000,506,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1570000,1281,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1500000,2067,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,780000,743,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,703000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,833000,581,16 to 20
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,980000,1292,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,885000,667,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,908000,667,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,673000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,689000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,706000,506,21 to 25
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1220000,1130,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,625000,431,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1608000,1281,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,685000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,865000,667,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,930000,840,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,893000,667,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,810000,743,11 to 15
THE GREENWICH,SELETAR ROAD,2009,Resale,900000,883,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,670000,506,11 to 15
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1160000,1130,11 to 15
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,790000,1012,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,920000,1044,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,679000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,670000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1608000,1281,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,906500,667,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,924000,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1127112,861,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,810888,743,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,667000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,903000,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,660000,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1294112,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,667000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,679000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1179112,872,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,826000,581,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1531000,1249,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1673000,1410,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1485000,1152,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,640000,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,643000,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,702000,506,16 to 20
H2O RESIDENCES,FERNVALE LINK,2010,Resale,900000,883,16 to 20
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,854800,1270,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,844000,592,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,644000,506,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1650000,1378,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1011000,786,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,823000,581,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,686000,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1365000,1130,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1306112,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,694000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1125112,872,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,637000,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,647000,506,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,1175000,1453,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,958000,667,16 to 20
SELETAR PARK RESIDENCE,SELETAR ROAD,2011,Resale,1050000,1012,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,940000,1302,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1325000,1227,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,646000,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1127112,861,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,654000,506,06 to 10
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1251000,1195,06 to 10
THE GREENWICH,SELETAR ROAD,2009,Resale,1100000,1076,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,627000,506,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,860000,850,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,682000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1173112,872,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,699000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1517000,1249,01 to 05
H2O RESIDENCES,FERNVALE LINK,2010,Resale,890000,883,06 to 10
H2O RESIDENCES,FERNVALE LINK,2010,Resale,1320000,1195,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,649000,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,630000,431,21 to 25
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,798000,1012,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,699000,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1102112,872,06 to 10
H2O RESIDENCES,FERNVALE LINK,2010,Resale,910000,883,11 to 15
THE GREENWICH,SELETAR ROAD,2009,Resale,848000,883,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,930000,1302,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,667000,506,11 to 15
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,1350000,1981,01 to 05
THE GREENWICH,SELETAR ROAD,2009,Resale,743000,603,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,823000,592,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,657000,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,680000,506,11 to 15
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,1997,Resale,933000,1335,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,663000,506,06 to 10
SUNRISE GARDENS,SUNRISE AVENUE,1995,Resale,885000,1292,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,640000,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,646000,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,921000,667,16 to 20
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1007000,786,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,871112,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1061112,861,01 to 05
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,614000,431,21 to 25
PARC BOTANNIA,FERNVALE STREET,2016,New Sale,1329000,969,21 to 25
