project,street,type,district,segment,tenure,commence,sale,price,area,level,date
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1516000,559.73,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1460000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1460000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2374000,807.3,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2394000,807.3,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2518000,882.65,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1521000,559.73,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1465000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3200000,1259.39,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2388000,861.12,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2384000,807.3,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2528000,882.65,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1526000,559.73,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1470000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1470000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2394000,861.12,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3159000,1130.22,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3808000,1313.21,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2394000,807.3,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2538000,882.65,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1531000,559.73,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1475000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1475000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2400000,861.12,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3167000,1130.22,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3823000,1313.21,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2404000,807.3,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2548000,882.65,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1536000,559.73,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1480000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1480000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2406000,861.12,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3175000,1130.22,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3838000,1313.21,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2558000,882.65,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1429000,505.91,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1541000,559.73,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1485000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1485000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2412000,861.12,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3853000,1313.21,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2424000,807.3,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2444000,807.3,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2568000,882.65,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1273000,441.32,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1346000,473.62,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1434000,505.91,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1546000,559.73,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1490000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1490000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2418000,861.12,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3868000,1313.21,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2434000,807.3,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2578000,882.65,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1278000,441.32,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1351000,473.62,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1439000,505.91,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1551000,559.73,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1495000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1495000,538.2,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2438000,861.12,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3901000,1313.21,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2464000,807.3,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2608000,882.65,11 to 15,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1356000,473.62,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1444000,505.91,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1556000,559.73,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1500000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1500000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2444000,861.12,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3916000,1313.21,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2474000,807.3,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2618000,882.65,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1361000,473.62,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1449000,505.91,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1561000,559.73,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1505000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2450000,861.12,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3931000,1313.21,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2484000,807.3,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2628000,882.65,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1293000,441.32,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1366000,473.62,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1454000,505.91,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1566000,559.73,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1510000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1510000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2456000,861.12,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3946000,1313.21,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2638000,882.65,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1371000,473.62,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1459000,505.91,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1571000,559.73,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1515000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3280000,1259.39,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2462000,861.12,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2504000,807.3,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2648000,882.65,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1303000,441.32,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1376000,473.62,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1464000,505.91,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1576000,559.73,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1520000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1520000,538.2,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3288000,1259.39,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2468000,861.12,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3246000,1130.22,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2514000,807.3,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2658000,882.65,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1308000,441.32,16 to 20,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1381000,473.62,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1469000,505.91,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1525000,538.2,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1525000,538.2,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2474000,861.12,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1313000,441.32,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1386000,473.62,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1474000,505.91,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1586000,559.73,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1530000,538.2,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1530000,538.2,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2480000,861.12,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3262000,1130.22,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1318000,441.32,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1391000,473.62,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1479000,505.91,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1591000,559.73,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1535000,538.2,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1535000,538.2,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,3312000,1259.39,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2486000,861.12,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2544000,807.3,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2688000,882.65,21 to 25,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1323000,441.32,21 to 25,Nov-21
THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,Apartment,27,OCR,99 years,2020.0,New Sale,1200000,936.47,01 to 05,Nov-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1669000,936.47,06 to 10,Nov-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,988000,516.67,11 to 15,Nov-21
DAIRY FARM RESIDENCES,DAIRY FARM LANE,Apartment,23,OCR,99 years,2018.0,New Sale,1554400,1011.82,01 to 05,Nov-21
DAIRY FARM RESIDENCES,DAIRY FARM LANE,Apartment,23,OCR,99 years,2018.0,New Sale,1185300,710.42,01 to 05,Nov-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 years,2019.0,New Sale,2493810,1054.87,11 to 15,Nov-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 years,2019.0,New Sale,4728240,1991.34,21 to 25,Nov-21
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,2105000,1248.62,11 to 15,Nov-21
MEYER MANSION,MEYER ROAD,Apartment,15,RCR,freehold,,New Sale,2838000,1108.69,06 to 10,Nov-21
MEYER MANSION,MEYER ROAD,Apartment,15,RCR,freehold,,New Sale,2960000,1108.69,21 to 25,Nov-21
DAIRY FARM RESIDENCES,DAIRY FARM LANE,Apartment,23,OCR,99 years,2018.0,New Sale,1233900,710.42,11 to 15,Nov-21
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,New Sale,1761000,990.29,01 to 05,Nov-21
DAWN VILLE,BUTTERWORTH LANE,Apartment,15,RCR,freehold,,Resale,1688000,1205.57,01 to 05,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1514000,548.96,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1482000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1178000,409.03,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1394000,505.91,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1183000,409.03,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,2218000,828.83,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1455000,538.2,06 to 10,Nov-21
MILL POINT,ZION CLOSE,Apartment,10,CCR,other,1877.0,Resale,2000000,1011.82,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1492000,538.2,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1188000,409.03,06 to 10,Nov-21
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,1404000,505.91,06 to 10,Nov-21
